Participant_ID,Block Number,Session Number,Trial Number,Stay_Probability(Colour),Stay_Probability(Texture),Stay_Probability(Shape),Slow_stim,Medium_stim,Fast_stim,Colour_stim,Texture_stim,Shape_stim,Choice Trial Index,Colour_distractor,Texture_distractor,Shape_distractor,Slow_distractor,Medium_distractor,Fast_distractor,Distractor_shares_colour,Distractor_shares_texture,Distractor_shares_shape,Distractor_shares_slow,Distractor_shares_medium,Distractor_shares_fast
1,1,2,1,0.1,0.3,0.5,1,5,1,1,5,1,,,,,,,,,,,,,
1,1,2,2,0.1,0.3,0.5,1,4,0,0,4,1,,,,,,,,,,,,,
1,1,2,3,0.1,0.3,0.5,2,6,6,6,6,2,,,,,,,,,,,,,
1,1,2,4,0.1,0.3,0.5,6,2,0,0,2,6,,,,,,,,,,,,,
1,1,2,5,0.1,0.3,0.5,6,6,1,1,6,6,,,,,,,,,,,,,
1,1,2,6,0.1,0.3,0.5,6,1,2,2,1,6,,,,,,,,,,,,,
1,1,2,7,0.1,0.3,0.5,6,1,3,3,1,6,,,,,,,,,,,,,
1,1,2,8,0.1,0.3,0.5,6,2,6,6,2,6,,,,,,,,,,,,,
1,1,2,9,0.1,0.3,0.5,1,6,2,2,6,1,,,,,,,,,,,,,
1,1,2,10,0.1,0.3,0.5,6,5,6,6,5,6,,,,,,,,,,,,,
1,1,2,11,0.1,0.3,0.5,0,5,2,2,5,0,,,,,,,,,,,,,
1,1,2,12,0.1,0.3,0.5,5,4,2,2,4,5,,,,,,,,,,,,,
1,1,2,13,0.1,0.3,0.5,5,5,3,3,5,5,,,,,,,,,,,,,
1,1,2,14,0.1,0.3,0.5,5,4,2,2,4,5,,,,,,,,,,,,,
1,1,2,15,0.1,0.3,0.5,5,4,1,1,4,5,1,6,0,1,1,0,6,0,0,0,0,0,0
1,1,2,16,0.1,0.3,0.5,5,3,0,0,3,5,,,,,,,,,,,,,
1,1,2,17,0.1,0.3,0.5,6,6,0,0,6,6,,,,,,,,,,,,,
1,1,2,18,0.1,0.3,0.5,1,6,5,5,6,1,,,,,,,,,,,,,
1,1,2,19,0.1,0.3,0.5,2,1,6,6,1,2,,,,,,,,,,,,,
1,1,2,20,0.1,0.3,0.5,6,2,5,5,2,6,,,,,,,,,,,,,
1,1,2,21,0.1,0.3,0.5,0,6,6,6,6,0,,,,,,,,,,,,,
1,1,2,22,0.1,0.3,0.5,0,3,0,0,3,0,,,,,,,,,,,,,
1,1,2,23,0.1,0.3,0.5,6,6,0,0,6,6,2,3,1,1,1,1,3,0,0,0,0,0,0
1,1,2,24,0.1,0.3,0.5,6,3,6,6,3,6,,,,,,,,,,,,,
1,1,2,25,0.1,0.3,0.5,3,3,3,3,3,3,,,,,,,,,,,,,
1,1,2,26,0.1,0.3,0.5,4,4,2,2,4,4,,,,,,,,,,,,,
1,1,2,27,0.1,0.3,0.5,4,6,3,3,6,4,,,,,,,,,,,,,
1,1,2,28,0.1,0.3,0.5,5,6,4,4,6,5,,,,,,,,,,,,,
